,precision,recall,f1-score,support
activate_my_card,0.391304347826087,0.9,0.5454545454545454,40.0
age_limit,0.9,0.9,0.9,40.0
apple_pay_or_google_pay,0.9024390243902439,0.925,0.9135802469135802,40.0
atm_support,0.7777777777777778,0.875,0.823529411764706,40.0
automatic_top_up,0.813953488372093,0.875,0.8433734939759036,40.0
balance_not_updated_after_bank_transfer,0.4230769230769231,0.55,0.47826086956521735,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.5882352941176471,0.75,0.6593406593406592,40.0
beneficiary_not_allowed,0.6595744680851063,0.775,0.7126436781609196,40.0
cancel_transfer,0.7037037037037037,0.95,0.8085106382978724,40.0
card_about_to_expire,0.6666666666666666,0.95,0.7835051546391752,40.0
card_acceptance,0.8421052631578947,0.8,0.8205128205128205,40.0
card_arrival,0.5454545454545454,0.75,0.631578947368421,40.0
card_delivery_estimate,0.8055555555555556,0.725,0.7631578947368423,40.0
card_linking,0.5535714285714286,0.775,0.6458333333333333,40.0
card_not_working,0.32432432432432434,0.6,0.4210526315789474,40.0
card_payment_fee_charged,0.673469387755102,0.825,0.7415730337078652,40.0
card_payment_not_recognised,0.5882352941176471,0.75,0.6593406593406592,40.0
card_payment_wrong_exchange_rate,0.7391304347826086,0.85,0.7906976744186046,40.0
card_swallowed,0.8888888888888888,0.8,0.8421052631578948,40.0
cash_withdrawal_charge,0.75,0.825,0.7857142857142856,40.0
cash_withdrawal_not_recognised,0.6511627906976745,0.7,0.674698795180723,40.0
change_pin,0.7567567567567568,0.7,0.7272727272727273,40.0
compromised_card,0.9333333333333333,0.7,0.8,40.0
contactless_not_working,0.8571428571428571,0.3,0.4444444444444444,40.0
country_support,0.8780487804878049,0.9,0.888888888888889,40.0
declined_card_payment,0.5,0.825,0.6226415094339622,40.0
declined_cash_withdrawal,0.6739130434782609,0.775,0.7209302325581396,40.0
declined_transfer,0.7058823529411765,0.6,0.6486486486486486,40.0
direct_debit_payment_not_recognised,0.6410256410256411,0.625,0.6329113924050633,40.0
disposable_card_limits,0.75,0.825,0.7857142857142856,40.0
edit_personal_details,0.8536585365853658,0.875,0.8641975308641976,40.0
exchange_charge,0.7391304347826086,0.85,0.7906976744186046,40.0
exchange_rate,0.8372093023255814,0.9,0.8674698795180723,40.0
exchange_via_app,0.8648648648648649,0.8,0.8311688311688312,40.0
extra_charge_on_statement,0.8285714285714286,0.725,0.7733333333333333,40.0
failed_transfer,0.7037037037037037,0.475,0.5671641791044776,40.0
fiat_currency_support,0.7837837837837838,0.725,0.7532467532467533,40.0
get_disposable_virtual_card,0.5,0.725,0.5918367346938775,40.0
get_physical_card,0.6666666666666666,0.6,0.631578947368421,40.0
getting_spare_card,0.7073170731707317,0.725,0.7160493827160495,40.0
getting_virtual_card,0.75,0.45,0.5625000000000001,40.0
lost_or_stolen_card,0.7692307692307693,0.75,0.7594936708860761,40.0
lost_or_stolen_phone,0.8974358974358975,0.875,0.8860759493670887,40.0
order_physical_card,0.6666666666666666,0.7,0.6829268292682926,40.0
passcode_forgotten,0.9696969696969697,0.8,0.8767123287671234,40.0
pending_card_payment,0.7105263157894737,0.675,0.6923076923076923,40.0
pending_cash_withdrawal,0.875,0.7,0.7777777777777777,40.0
pending_top_up,0.6060606060606061,0.5,0.5479452054794521,40.0
pending_transfer,0.625,0.5,0.5555555555555556,40.0
pin_blocked,0.9230769230769231,0.6,0.7272727272727274,40.0
receiving_money,0.9705882352941176,0.825,0.8918918918918919,40.0
Refund_not_showing_up,0.8536585365853658,0.875,0.8641975308641976,40.0
request_refund,1.0,0.8,0.888888888888889,40.0
reverted_card_payment?,0.7941176470588235,0.675,0.7297297297297296,40.0
supported_cards_and_currencies,0.8048780487804879,0.825,0.8148148148148149,40.0
terminate_account,0.9,0.9,0.9,40.0
top_up_by_bank_transfer_charge,0.8333333333333334,0.625,0.7142857142857143,40.0
top_up_by_card_charge,0.9210526315789473,0.875,0.8974358974358975,40.0
top_up_by_cash_or_cheque,0.8235294117647058,0.7,0.7567567567567567,40.0
top_up_failed,0.6222222222222222,0.7,0.6588235294117647,40.0
top_up_limits,0.8717948717948718,0.85,0.8607594936708861,40.0
top_up_reverted,0.8214285714285714,0.575,0.676470588235294,40.0
topping_up_by_card,0.8846153846153846,0.575,0.696969696969697,40.0
transaction_charged_twice,0.9090909090909091,0.75,0.821917808219178,40.0
transfer_fee_charged,0.9,0.675,0.7714285714285714,40.0
transfer_into_account,0.6944444444444444,0.625,0.6578947368421053,40.0
transfer_not_received_by_recipient,0.9166666666666666,0.55,0.6874999999999999,40.0
transfer_timing,0.7804878048780488,0.8,0.7901234567901235,40.0
unable_to_verify_identity,0.918918918918919,0.85,0.8831168831168831,40.0
verify_my_identity,0.8888888888888888,0.8,0.8421052631578948,40.0
verify_source_of_funds,0.9512195121951219,0.975,0.9629629629629629,40.0
verify_top_up,0.9210526315789473,0.875,0.8974358974358975,40.0
virtual_card_not_working,0.8333333333333334,0.375,0.5172413793103448,40.0
visa_or_mastercard,0.9696969696969697,0.8,0.8767123287671234,40.0
why_verify_identity,0.9230769230769231,0.9,0.9113924050632911,40.0
wrong_amount_of_cash_received,0.918918918918919,0.85,0.8831168831168831,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8857142857142857,0.775,0.8266666666666667,40.0
accuracy,0.7461038961038962,0.7461038961038962,0.7461038961038962,0.7461038961038962
macro avg,0.7750007976202468,0.746103896103896,0.7487255444867144,3080.0
weighted avg,0.7750007976202469,0.7461038961038962,0.7487255444867142,3080.0
