,precision,recall,f1-score,support
activate_my_card,0.45454545454545453,0.875,0.5982905982905983,40.0
age_limit,0.9512195121951219,0.975,0.9629629629629629,40.0
apple_pay_or_google_pay,0.813953488372093,0.875,0.8433734939759036,40.0
atm_support,0.9473684210526315,0.9,0.9230769230769231,40.0
automatic_top_up,0.7169811320754716,0.95,0.8172043010752688,40.0
balance_not_updated_after_bank_transfer,0.45098039215686275,0.575,0.5054945054945055,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.5660377358490566,0.75,0.6451612903225807,40.0
beneficiary_not_allowed,0.66,0.825,0.7333333333333334,40.0
cancel_transfer,0.7090909090909091,0.975,0.8210526315789474,40.0
card_about_to_expire,0.7959183673469388,0.975,0.8764044943820225,40.0
card_acceptance,0.7555555555555555,0.85,0.7999999999999998,40.0
card_arrival,0.574468085106383,0.675,0.6206896551724138,40.0
card_delivery_estimate,0.7894736842105263,0.75,0.7692307692307692,40.0
card_linking,0.6538461538461539,0.85,0.7391304347826088,40.0
card_not_working,0.359375,0.575,0.4423076923076923,40.0
card_payment_fee_charged,0.543859649122807,0.775,0.6391752577319588,40.0
card_payment_not_recognised,0.48333333333333334,0.725,0.58,40.0
card_payment_wrong_exchange_rate,0.7708333333333334,0.925,0.840909090909091,40.0
card_swallowed,0.8,0.7,0.7466666666666666,40.0
cash_withdrawal_charge,0.6595744680851063,0.775,0.7126436781609196,40.0
cash_withdrawal_not_recognised,0.5319148936170213,0.625,0.5747126436781609,40.0
change_pin,0.7435897435897436,0.725,0.7341772151898733,40.0
compromised_card,0.875,0.525,0.6562500000000001,40.0
contactless_not_working,0.7857142857142857,0.275,0.40740740740740744,40.0
country_support,1.0,0.825,0.9041095890410958,40.0
declined_card_payment,0.5806451612903226,0.9,0.7058823529411764,40.0
declined_cash_withdrawal,0.8648648648648649,0.8,0.8311688311688312,40.0
declined_transfer,0.7333333333333333,0.55,0.6285714285714286,40.0
direct_debit_payment_not_recognised,0.65625,0.525,0.5833333333333334,40.0
disposable_card_limits,0.7777777777777778,0.875,0.823529411764706,40.0
edit_personal_details,0.8918918918918919,0.825,0.8571428571428571,40.0
exchange_charge,0.8181818181818182,0.9,0.8571428571428572,40.0
exchange_rate,0.8,0.9,0.8470588235294118,40.0
exchange_via_app,0.8,0.8,0.8000000000000002,40.0
extra_charge_on_statement,0.8285714285714286,0.725,0.7733333333333333,40.0
failed_transfer,0.7352941176470589,0.625,0.6756756756756757,40.0
fiat_currency_support,0.8421052631578947,0.8,0.8205128205128205,40.0
get_disposable_virtual_card,0.5576923076923077,0.725,0.6304347826086957,40.0
get_physical_card,0.7368421052631579,0.7,0.717948717948718,40.0
getting_spare_card,0.7380952380952381,0.775,0.7560975609756099,40.0
getting_virtual_card,0.7857142857142857,0.55,0.6470588235294117,40.0
lost_or_stolen_card,0.7419354838709677,0.575,0.6478873239436619,40.0
lost_or_stolen_phone,0.85,0.85,0.85,40.0
order_physical_card,0.631578947368421,0.6,0.6153846153846154,40.0
passcode_forgotten,0.8857142857142857,0.775,0.8266666666666667,40.0
pending_card_payment,0.6904761904761905,0.725,0.7073170731707318,40.0
pending_cash_withdrawal,0.7317073170731707,0.75,0.7407407407407408,40.0
pending_top_up,0.6666666666666666,0.6,0.631578947368421,40.0
pending_transfer,0.6578947368421053,0.625,0.6410256410256411,40.0
pin_blocked,0.88,0.55,0.676923076923077,40.0
receiving_money,0.96875,0.775,0.8611111111111113,40.0
Refund_not_showing_up,0.9117647058823529,0.775,0.8378378378378379,40.0
request_refund,0.9696969696969697,0.8,0.8767123287671234,40.0
reverted_card_payment?,0.6571428571428571,0.575,0.6133333333333333,40.0
supported_cards_and_currencies,0.7692307692307693,0.75,0.7594936708860761,40.0
terminate_account,0.8181818181818182,0.9,0.8571428571428572,40.0
top_up_by_bank_transfer_charge,0.8333333333333334,0.75,0.7894736842105262,40.0
top_up_by_card_charge,0.8157894736842105,0.775,0.7948717948717949,40.0
top_up_by_cash_or_cheque,0.8055555555555556,0.725,0.7631578947368423,40.0
top_up_failed,0.6585365853658537,0.675,0.6666666666666667,40.0
top_up_limits,0.9487179487179487,0.925,0.9367088607594937,40.0
top_up_reverted,0.75,0.6,0.6666666666666665,40.0
topping_up_by_card,0.8285714285714286,0.725,0.7733333333333333,40.0
transaction_charged_twice,0.8387096774193549,0.65,0.7323943661971831,40.0
transfer_fee_charged,0.9032258064516129,0.7,0.7887323943661972,40.0
transfer_into_account,0.7222222222222222,0.65,0.6842105263157895,40.0
transfer_not_received_by_recipient,0.8571428571428571,0.6,0.7058823529411764,40.0
transfer_timing,0.7380952380952381,0.775,0.7560975609756099,40.0
unable_to_verify_identity,0.8421052631578947,0.8,0.8205128205128205,40.0
verify_my_identity,0.8461538461538461,0.825,0.8354430379746836,40.0
verify_source_of_funds,0.926829268292683,0.95,0.9382716049382716,40.0
verify_top_up,0.9,0.9,0.9,40.0
virtual_card_not_working,1.0,0.45,0.6206896551724138,40.0
visa_or_mastercard,0.9411764705882353,0.8,0.8648648648648648,40.0
why_verify_identity,0.9444444444444444,0.85,0.8947368421052632,40.0
wrong_amount_of_cash_received,0.9142857142857143,0.8,0.8533333333333333,40.0
wrong_exchange_rate_for_cash_withdrawal,0.96875,0.775,0.8611111111111113,40.0
accuracy,0.7474025974025974,0.7474025974025974,0.7474025974025974,0.7474025974025974
macro avg,0.7708347931598594,0.7474025974025974,0.7485580628741104,3080.0
weighted avg,0.7708347931598594,0.7474025974025974,0.7485580628741105,3080.0
