,precision,recall,f1-score,support
activate_my_card,0.4383561643835616,0.8,0.5663716814159292,40.0
age_limit,0.926829268292683,0.95,0.9382716049382716,40.0
apple_pay_or_google_pay,0.7872340425531915,0.925,0.8505747126436781,40.0
atm_support,0.7551020408163265,0.925,0.8314606741573034,40.0
automatic_top_up,0.6875,0.825,0.75,40.0
balance_not_updated_after_bank_transfer,0.3472222222222222,0.625,0.44642857142857145,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.4067796610169492,0.6,0.4848484848484849,40.0
beneficiary_not_allowed,0.6274509803921569,0.8,0.7032967032967032,40.0
cancel_transfer,0.6,0.825,0.6947368421052632,40.0
card_about_to_expire,0.7307692307692307,0.95,0.8260869565217392,40.0
card_acceptance,0.7209302325581395,0.775,0.7469879518072289,40.0
card_arrival,0.49056603773584906,0.65,0.5591397849462365,40.0
card_delivery_estimate,0.7567567567567568,0.7,0.7272727272727273,40.0
card_linking,0.5,0.7,0.5833333333333334,40.0
card_not_working,0.4166666666666667,0.625,0.5,40.0
card_payment_fee_charged,0.5,0.775,0.607843137254902,40.0
card_payment_not_recognised,0.47297297297297297,0.875,0.6140350877192983,40.0
card_payment_wrong_exchange_rate,0.6851851851851852,0.925,0.7872340425531915,40.0
card_swallowed,0.8285714285714286,0.725,0.7733333333333333,40.0
cash_withdrawal_charge,0.5370370370370371,0.725,0.6170212765957447,40.0
cash_withdrawal_not_recognised,0.5,0.525,0.5121951219512195,40.0
change_pin,0.6304347826086957,0.725,0.6744186046511628,40.0
compromised_card,0.8148148148148148,0.55,0.6567164179104479,40.0
contactless_not_working,0.95,0.475,0.6333333333333334,40.0
country_support,0.8181818181818182,0.9,0.8571428571428572,40.0
declined_card_payment,0.5,0.775,0.607843137254902,40.0
declined_cash_withdrawal,0.6458333333333334,0.775,0.7045454545454546,40.0
declined_transfer,0.5454545454545454,0.45,0.4931506849315069,40.0
direct_debit_payment_not_recognised,0.8484848484848485,0.7,0.7671232876712328,40.0
disposable_card_limits,0.8043478260869565,0.925,0.8604651162790697,40.0
edit_personal_details,0.9375,0.75,0.8333333333333334,40.0
exchange_charge,0.5961538461538461,0.775,0.6739130434782609,40.0
exchange_rate,0.8823529411764706,0.75,0.8108108108108107,40.0
exchange_via_app,0.8571428571428571,0.75,0.7999999999999999,40.0
extra_charge_on_statement,0.896551724137931,0.65,0.7536231884057972,40.0
failed_transfer,0.5294117647058824,0.45,0.48648648648648646,40.0
fiat_currency_support,0.8571428571428571,0.75,0.7999999999999999,40.0
get_disposable_virtual_card,0.8421052631578947,0.8,0.8205128205128205,40.0
get_physical_card,0.5675675675675675,0.525,0.5454545454545455,40.0
getting_spare_card,0.6458333333333334,0.775,0.7045454545454546,40.0
getting_virtual_card,0.7073170731707317,0.725,0.7160493827160495,40.0
lost_or_stolen_card,0.7222222222222222,0.65,0.6842105263157895,40.0
lost_or_stolen_phone,0.8611111111111112,0.775,0.8157894736842106,40.0
order_physical_card,0.6451612903225806,0.5,0.5633802816901409,40.0
passcode_forgotten,0.7575757575757576,0.625,0.6849315068493151,40.0
pending_card_payment,0.5,0.5,0.5,40.0
pending_cash_withdrawal,0.5416666666666666,0.65,0.5909090909090908,40.0
pending_top_up,0.6585365853658537,0.675,0.6666666666666667,40.0
pending_transfer,0.5588235294117647,0.475,0.5135135135135136,40.0
pin_blocked,0.696969696969697,0.575,0.6301369863013698,40.0
receiving_money,0.8857142857142857,0.775,0.8266666666666667,40.0
Refund_not_showing_up,0.84375,0.675,0.75,40.0
request_refund,0.725,0.725,0.7250000000000001,40.0
reverted_card_payment?,0.7647058823529411,0.65,0.7027027027027027,40.0
supported_cards_and_currencies,0.8055555555555556,0.725,0.7631578947368423,40.0
terminate_account,0.8333333333333334,0.75,0.7894736842105262,40.0
top_up_by_bank_transfer_charge,0.5434782608695652,0.625,0.5813953488372093,40.0
top_up_by_card_charge,0.8823529411764706,0.75,0.8108108108108107,40.0
top_up_by_cash_or_cheque,0.8,0.6,0.6857142857142857,40.0
top_up_failed,0.6666666666666666,0.65,0.6582278481012659,40.0
top_up_limits,0.9210526315789473,0.875,0.8974358974358975,40.0
top_up_reverted,0.8,0.6,0.6857142857142857,40.0
topping_up_by_card,0.7307692307692307,0.475,0.5757575757575758,40.0
transaction_charged_twice,0.9642857142857143,0.675,0.7941176470588236,40.0
transfer_fee_charged,0.7333333333333333,0.275,0.4,40.0
transfer_into_account,0.8846153846153846,0.575,0.696969696969697,40.0
transfer_not_received_by_recipient,0.6818181818181818,0.375,0.48387096774193555,40.0
transfer_timing,0.896551724137931,0.65,0.7536231884057972,40.0
unable_to_verify_identity,0.8529411764705882,0.725,0.7837837837837837,40.0
verify_my_identity,0.7619047619047619,0.8,0.7804878048780488,40.0
verify_source_of_funds,0.95,0.95,0.9500000000000001,40.0
verify_top_up,1.0,0.875,0.9333333333333333,40.0
virtual_card_not_working,0.8823529411764706,0.375,0.5263157894736842,40.0
visa_or_mastercard,0.967741935483871,0.75,0.8450704225352113,40.0
why_verify_identity,1.0,0.6,0.7499999999999999,40.0
wrong_amount_of_cash_received,0.9354838709677419,0.725,0.8169014084507041,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9629629629629629,0.65,0.7761194029850746,40.0
accuracy,0.6948051948051948,0.6948051948051948,0.6948051948051948,0.6948051948051948
macro avg,0.7300129709013551,0.6948051948051949,0.6975601101275448,3080.0
weighted avg,0.7300129709013551,0.6948051948051948,0.6975601101275447,3080.0
