,precision,recall,f1-score,support
activate_my_card,0.38202247191011235,0.85,0.5271317829457364,40.0
age_limit,0.9069767441860465,0.975,0.9397590361445783,40.0
apple_pay_or_google_pay,0.9024390243902439,0.925,0.9135802469135802,40.0
atm_support,0.75,0.75,0.75,40.0
automatic_top_up,0.782608695652174,0.9,0.8372093023255814,40.0
balance_not_updated_after_bank_transfer,0.4166666666666667,0.625,0.5,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.5535714285714286,0.775,0.6458333333333333,40.0
beneficiary_not_allowed,0.7555555555555555,0.85,0.7999999999999998,40.0
cancel_transfer,0.6730769230769231,0.875,0.7608695652173914,40.0
card_about_to_expire,0.6727272727272727,0.925,0.7789473684210527,40.0
card_acceptance,0.7435897435897436,0.725,0.7341772151898733,40.0
card_arrival,0.5833333333333334,0.7,0.6363636363636365,40.0
card_delivery_estimate,0.8,0.7,0.7466666666666666,40.0
card_linking,0.5333333333333333,0.8,0.64,40.0
card_not_working,0.38333333333333336,0.575,0.4600000000000001,40.0
card_payment_fee_charged,0.4852941176470588,0.825,0.611111111111111,40.0
card_payment_not_recognised,0.41333333333333333,0.775,0.5391304347826087,40.0
card_payment_wrong_exchange_rate,0.8048780487804879,0.825,0.8148148148148149,40.0
card_swallowed,0.8157894736842105,0.775,0.7948717948717949,40.0
cash_withdrawal_charge,0.6829268292682927,0.7,0.6913580246913581,40.0
cash_withdrawal_not_recognised,0.6097560975609756,0.625,0.6172839506172839,40.0
change_pin,0.75,0.75,0.75,40.0
compromised_card,0.8518518518518519,0.575,0.6865671641791045,40.0
contactless_not_working,0.9444444444444444,0.425,0.5862068965517241,40.0
country_support,0.9230769230769231,0.9,0.9113924050632911,40.0
declined_card_payment,0.5178571428571429,0.725,0.6041666666666666,40.0
declined_cash_withdrawal,0.75,0.75,0.75,40.0
declined_transfer,0.7058823529411765,0.6,0.6486486486486486,40.0
direct_debit_payment_not_recognised,0.7428571428571429,0.65,0.6933333333333334,40.0
disposable_card_limits,0.8095238095238095,0.85,0.8292682926829269,40.0
edit_personal_details,0.6981132075471698,0.925,0.7956989247311829,40.0
exchange_charge,0.6530612244897959,0.8,0.7191011235955055,40.0
exchange_rate,0.8717948717948718,0.85,0.8607594936708861,40.0
exchange_via_app,0.7777777777777778,0.7,0.7368421052631577,40.0
extra_charge_on_statement,0.8787878787878788,0.725,0.7945205479452054,40.0
failed_transfer,0.6875,0.55,0.6111111111111112,40.0
fiat_currency_support,0.7428571428571429,0.65,0.6933333333333334,40.0
get_disposable_virtual_card,0.8157894736842105,0.775,0.7948717948717949,40.0
get_physical_card,0.7916666666666666,0.475,0.5937499999999999,40.0
getting_spare_card,0.6923076923076923,0.675,0.6835443037974683,40.0
getting_virtual_card,0.7352941176470589,0.625,0.6756756756756757,40.0
lost_or_stolen_card,0.6571428571428571,0.575,0.6133333333333333,40.0
lost_or_stolen_phone,0.9210526315789473,0.875,0.8974358974358975,40.0
order_physical_card,0.6111111111111112,0.55,0.5789473684210527,40.0
passcode_forgotten,0.9142857142857143,0.8,0.8533333333333333,40.0
pending_card_payment,0.5777777777777777,0.65,0.6117647058823529,40.0
pending_cash_withdrawal,0.6470588235294118,0.55,0.5945945945945946,40.0
pending_top_up,0.5306122448979592,0.65,0.5842696629213483,40.0
pending_transfer,0.5806451612903226,0.45,0.5070422535211268,40.0
pin_blocked,0.92,0.575,0.7076923076923077,40.0
receiving_money,0.9375,0.75,0.8333333333333334,40.0
Refund_not_showing_up,0.9411764705882353,0.8,0.8648648648648648,40.0
request_refund,0.8378378378378378,0.775,0.8051948051948051,40.0
reverted_card_payment?,0.7878787878787878,0.65,0.7123287671232875,40.0
supported_cards_and_currencies,0.7714285714285715,0.675,0.72,40.0
terminate_account,0.9428571428571428,0.825,0.88,40.0
top_up_by_bank_transfer_charge,0.84375,0.675,0.75,40.0
top_up_by_card_charge,0.8048780487804879,0.825,0.8148148148148149,40.0
top_up_by_cash_or_cheque,0.9333333333333333,0.7,0.8,40.0
top_up_failed,0.6285714285714286,0.55,0.5866666666666667,40.0
top_up_limits,0.8571428571428571,0.9,0.8780487804878048,40.0
top_up_reverted,0.7037037037037037,0.475,0.5671641791044776,40.0
topping_up_by_card,0.8275862068965517,0.6,0.6956521739130435,40.0
transaction_charged_twice,0.8,0.7,0.7466666666666666,40.0
transfer_fee_charged,0.875,0.525,0.6562500000000001,40.0
transfer_into_account,0.7368421052631579,0.7,0.717948717948718,40.0
transfer_not_received_by_recipient,0.8214285714285714,0.575,0.676470588235294,40.0
transfer_timing,0.7333333333333333,0.825,0.776470588235294,40.0
unable_to_verify_identity,0.8823529411764706,0.75,0.8108108108108107,40.0
verify_my_identity,0.8717948717948718,0.85,0.8607594936708861,40.0
verify_source_of_funds,0.9285714285714286,0.975,0.951219512195122,40.0
verify_top_up,0.9230769230769231,0.9,0.9113924050632911,40.0
virtual_card_not_working,0.9130434782608695,0.525,0.6666666666666667,40.0
visa_or_mastercard,0.9393939393939394,0.775,0.8493150684931509,40.0
why_verify_identity,0.825,0.825,0.825,40.0
wrong_amount_of_cash_received,0.9142857142857143,0.8,0.8533333333333333,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8717948717948718,0.85,0.8607594936708861,40.0
accuracy,0.7259740259740259,0.7259740259740259,0.7259740259740259,0.7259740259740259
macro avg,0.7559078576198244,0.7259740259740259,0.7295772115994803,3080.0
weighted avg,0.7559078576198245,0.7259740259740259,0.7295772115994802,3080.0
